chrom,start0,end0,gene_id,gene_name,strand
chr1,12040237,12075268,ENSG00000116688.18_14,MFN2,+
chr1,12079522,12092102,ENSG00000116691.11_7,MIIP,+
chr1,12123359,12204264,ENSG00000120949.15_7,TNFRSF8,+
chr1,12227047,12269285,ENSG00000028137.19_8,TNFRSF1B,+
chr1,12290086,12572099,ENSG00000048707.15_23,VPS13D,+
chr1,12627937,12680139,ENSG00000162496.10_12,DHRS3,-
chr1,12704103,12727087,ENSG00000204518.3_5,AADACL4,+
chr1,12776112,12788727,ENSG00000188984.12_8,AADACL3,+
chr1,12806147,12823847,ENSG00000157330.10_11,CFAP107,+
chr1,12833880,12838049,ENSG00000116726.5_6,PRAMEF12,+
chr1,12851545,12856777,ENSG00000116721.9_8,PRAMEF1,+
chr1,12884467,12891264,ENSG00000204513.5,PRAMEF11,-
chr1,12907229,12908573,ENSG00000179172.10_9,HNRNPCL1,-
chr1,12916940,12921764,ENSG00000120952.4_5,PRAMEF2,+
chr1,12939032,12946025,ENSG00000243073.4_9,PRAMEF4,-
chr1,12952726,12958101,ENSG00000187545.5_9,PRAMEF10,-
chr1,12976429,12980571,ENSG00000204510.6_9,PRAMEF7,+
chr1,12998301,13007406,ENSG00000232423.6_10,PRAMEF6,-
chr1,13035542,13038381,ENSG00000204508.3,PRAMEF22,+
chr1,13052393,13052998,ENSG00000239810.2,WI2-3308P17.2,-
chr1,13182959,13184326,ENSG00000275774.3_9,HNRNPCL2,-
chr1,13216355,13219581,ENSG00000229571.2,PRAMEF26,-
chr1,13328195,13331692,ENSG00000204503.5,PRAMEF3,-
chr1,13359818,13369057,ENSG00000204502.2,PRAMEF5,+
chr1,13386645,13390765,ENSG00000182330.6,PRAMEF8,-
chr1,13421175,13428191,ENSG00000204501.2,PRAMEF9,+
chr1,13447428,13452656,ENSG00000279169.3_14,PRAMEF13,-
chr1,13474688,13477522,ENSG00000204491.2,PRAMEF18,-
chr1,13495253,13498260,ENSG00000204488.3,PRAMEF16,+
chr1,13516065,13526943,ENSG00000204486.3,PRAMEF21,+
chr1,13641972,13648988,ENSG00000157358.7,PRAMEF15,+
chr1,13668268,13673511,ENSG00000204481.8_9,PRAMEF14,-
chr1,13694888,13698405,ENSG00000204480.9_11,PRAMEF19,-
chr1,13716091,13719089,ENSG00000204479.4_7,PRAMEF17,+
chr1,13736906,13747803,ENSG00000204478.11_8,PRAMEF20,+
chr1,13801440,13840498,ENSG00000162494.6_9,LRRC38,-
chr1,13909959,13944452,ENSG00000162493.17_18,PDPN,+
chr1,14026682,14151574,ENSG00000116731.23_16,PRDM2,+
chr1,14219286,15444539,ENSG00000189337.17_18,KAZN,+
chr1,15479027,15546974,ENSG00000171729.14_11,TMEM51,+
chr1,15563016,15726779,ENSG00000142621.21_13,FHAD1,+
chr1,15736383,15756835,ENSG00000142634.13_7,EFHD2,+
chr1,15764937,15775737,ENSG00000162438.12_7,CTRC,+
chr1,15783222,15798586,ENSG00000142615.8_8,CELA2A,+
chr1,15792403,15817890,ENSG00000215704.10_12,CELA2B,+
chr1,15817326,15853029,ENSG00000132906.18_14,CASP9,-
chr1,15853307,15918874,ENSG00000116138.13_7,DNAJC16,+
chr1,15898193,15911546,ENSG00000116771.6_9,AGMAT,-
chr1,15943952,15995539,ENSG00000197312.13_10,DDI2,+
chr1,15986207,15988528,ENSG00000215695.2_8,RSC1A1,+
chr1,16007955,16061264,ENSG00000116786.15_14,PLEKHM2,+
chr1,16062752,16067887,ENSG00000162461.8_7,SLC25A34,+
chr1,16068993,16074477,ENSG00000162460.7_7,TMEM82,+
chr1,16083101,16113089,ENSG00000162458.13_14,FBLIM1,+
chr1,16133663,16135843,ENSG00000233954.7_9,UQCRHL,-
chr1,16162589,16266951,ENSG00000065526.13_14,SPEN,+
chr1,16268363,16302627,ENSG00000116809.12_15,ZBTB17,-
chr1,16330730,16335302,ENSG00000183888.4_6,SRARP,+
chr1,16340522,16346089,ENSG00000173641.18_19,HSPB7,-
chr1,16345369,16360545,ENSG00000186510.12_10,CLCNKA,+
chr1,16366746,16383806,ENSG00000184908.20_10,CLCNKB,+
chr1,16384263,16400146,ENSG00000185519.9_9,FAM131C,-
chr1,16450831,16482564,ENSG00000142627.13_9,EPHA2,-
chr1,16524348,16539147,ENSG00000142632.17_10,ARHGEF19,-
chr1,16555367,16556038,ENSG00000204377.3,C1orf134,-
chr1,16558186,16563678,ENSG00000132881.12_10,CPLANE2,-
chr1,16573334,16678975,ENSG00000037637.11_10,FBXO42,-
chr1,16679069,16724640,ENSG00000055070.17_13,SZRD1,+
chr1,16713611,16763919,ENSG00000187144.11_15,SPATA21,-
chr1,16767215,16786573,ENSG00000157191.20_10,NECAP2,+
chr1,16865560,16866070,ENSG00000268674.1,AL355149.2,+
chr1,16888813,16940057,ENSG00000219481.11_10,NBPF1,-
chr1,16999497,17000007,ENSG00000237847.2,AL137798.1,+
chr1,17060446,17060956,ENSG00000268991.1,AL021920.2,-
chr1,17066767,17299459,ENSG00000058453.17_15,CROCC,+
chr1,17300996,17307127,ENSG00000117122.14_18,MFAP2,-
chr1,17312452,17338423,ENSG00000159363.19_16,ATP13A2,-
chr1,17331562,17338252,ENSG00000288636.1_5,ENSG00000288636,-
chr1,17345158,17380646,ENSG00000117118.12_9,SDHB,-
chr1,17393255,17445946,ENSG00000117115.13_9,PADI2,-
chr1,17531622,17572502,ENSG00000142623.11_8,PADI1,+
chr1,17575592,17610728,ENSG00000142619.4_5,PADI3,+
chr1,17634689,17690499,ENSG00000159339.13_5,PADI4,+
chr1,17655506,17676070,ENSG00000269468.1,AC004824.2,-
chr1,17698690,17728195,ENSG00000276747.1_8,PADI6,+
chr1,17733255,17766173,ENSG00000179051.14_10,RCC2,-
chr1,17866192,18024369,ENSG00000074964.17_12,ARHGEF10L,+
chr1,18081827,18153558,ENSG00000117148.8_7,ACTL8,+
chr1,18434291,18704977,ENSG00000117154.12_8,IGSF21,+
chr1,18807423,18812468,ENSG00000179023.9_7,KLHDC7A,+
chr1,18957339,19075360,ENSG00000009709.13_7,PAX7,+
chr1,19166092,19186154,ENSG00000179002.6_10,TAS1R2,-
chr1,19175766,19247615,ENSG00000255275.3,RP13-279N23.2,-
chr1,19197923,19229218,ENSG00000159423.17_14,ALDH4A1,-
chr1,19230773,19283170,ENSG00000169991.11_12,IFFO2,-
chr1,19401003,19536760,ENSG00000127481.15_14,UBR4,-
chr1,19542153,19578046,ENSG00000127463.16_21,EMC1,-
chr1,19578298,19586622,ENSG00000053372.5_8,MRTO4,+
chr1,19592475,19600688,ENSG00000211454.16_15,AKR7L,-
chr1,19609066,19615264,ENSG00000162482.5_9,AKR7A3,-
chr1,19628484,19638638,ENSG00000053371.14_14,AKR7A2,-
chr1,19638819,19655794,ENSG00000040487.13_11,SLC66A1,+
chr1,19665268,19812033,ENSG00000077549.19_17,CAPZB,-
chr1,19810896,19956315,ENSG00000173436.15_10,MICOS10,+
chr1,19923472,19984949,ENSG00000158747.15_13,NBL1,+
chr1,19923560,19983420,ENSG00000270136.6_13,MICOS10-NBL1,+
chr1,19991367,20007459,ENSG00000158748.4_7,HTR6,+
chr1,20008732,20126438,ENSG00000162542.14_11,TMCO4,-
chr1,20140521,20141776,ENSG00000178828.7_8,RNF186,-
chr1,20208887,20239438,ENSG00000169914.6_7,OTUD3,+
chr1,20246501,20250110,ENSG00000188784.4_8,PLA2G2E,-
chr1,20301923,20306909,ENSG00000188257.12_12,PLA2G2A,-
chr1,20354671,20418404,ENSG00000127472.11_7,PLA2G5,+
chr1,20438431,20446059,ENSG00000117215.15_9,PLA2G2D,-
chr1,20465815,20476874,ENSG00000158786.5_5,PLA2G2F,+
chr1,20487745,20513011,ENSG00000187980.7_11,PLA2G2C,-
chr1,20512588,20522543,ENSG00000162543.6_8,UBXN10,+
chr1,20617367,20686011,ENSG00000158816.16_16,VWA5B1,+
chr1,20808883,20812703,ENSG00000162545.6_9,CAMK2N1,-
chr1,20825940,20834644,ENSG00000090432.7_9,MUL1,-
chr1,20879065,20881513,ENSG00000183114.8_7,FAM43B,+
chr1,20915578,20945396,ENSG00000158825.6_7,CDA,+
chr1,20959950,20978004,ENSG00000158828.8_8,PINK1,+
chr1,20978259,20988037,ENSG00000244038.11_15,DDOST,-
chr1,20990506,21044510,ENSG00000117245.13_12,KIF17,-
chr1,21046223,21059330,ENSG00000189410.12_17,SH2D5,-
chr1,21065587,21113816,ENSG00000127483.20_15,HP1BP3,-
chr1,21132784,21503778,ENSG00000075151.24_18,EIF4G3,-
chr1,21543739,21672065,ENSG00000117298.16_15,ECE1,-
chr1,21766620,21811498,ENSG00000142794.19_12,NBPF3,+
chr1,21835889,21904903,ENSG00000162551.14_11,ALPL,+
chr1,21873896,21880495,ENSG00000289715.1_2,ENSG00000289715,+
chr1,21922713,21995850,ENSG00000076864.21_16,RAP1GAP,-
chr1,22004790,22110099,ENSG00000090686.16_12,USP48,-
chr1,22138757,22151718,ENSG00000187942.12_7,LDLRAD2,+
chr1,22148736,22263803,ENSG00000142798.20_20,HSPG2,-
chr1,22303514,22325135,ENSG00000219073.8_12,CELA3B,+
chr1,22328149,22339035,ENSG00000142789.20_11,CELA3A,+
chr1,22351634,22419436,ENSG00000289694.1_6,ENSG00000289694,+
chr1,22379119,22427853,ENSG00000070831.18_21,CDC42,+
chr1,22443805,22470462,ENSG00000162552.15_14,WNT4,-
chr1,22755330,22857650,ENSG00000184677.18_19,ZBTB40,+
chr1,22889981,22930088,ENSG00000070886.12_8,EPHA8,+
chr1,22961569,22966171,ENSG00000173372.18_11,C1QA,+
chr1,22962998,22970560,ENSG00000289692.1_6,ENSG00000289692,+
chr1,22969506,22974603,ENSG00000159189.13_9,C1QC,+
chr1,22979254,22988130,ENSG00000173369.18_17,C1QB,+
chr1,23037331,23247993,ENSG00000133216.17_12,EPHB2,+
chr1,23279535,23299359,ENSG00000215906.9_12,LACTBL1,-
chr1,23337326,23345593,ENSG00000227868.7_16,TEX46,-
chr1,23345935,23410182,ENSG00000004487.18_16,KDM1A,+
chr1,23410522,23504645,ENSG00000169641.16_15,LUZP1,-
chr1,23420818,23420869,ENSG00000293565.1_1,ENSG00000293565,-
chr1,23518387,23543995,ENSG00000179546.5_7,HTR1D,-
chr1,23630263,23670829,ENSG00000125944.22_16,HNRNPR,-
chr1,23685940,23696329,ENSG00000125945.16_10,ZNF436,-
chr1,23707401,23751241,ENSG00000204219.11_14,TCEA3,-
chr1,23755055,23811130,ENSG00000088280.21_14,ASAP3,-
chr1,23832929,23857725,ENSG00000007968.7_9,E2F2,-
chr1,23884416,23885992,ENSG00000117318.9_9,ID3,-
chr1,24018231,24023325,ENSG00000142676.14_15,RPL11,+
chr1,24069937,24088549,ENSG00000011007.13_11,ELOA,+
chr1,24104907,24114722,ENSG00000057757.10_10,PITHD1,+
chr1,24117599,24122029,ENSG00000011009.12_9,LYPLA2,+
chr1,24122088,24127271,ENSG00000117308.15_16,GALE,-
chr1,24128374,24165110,ENSG00000117305.15_11,HMGCL,-
chr1,24171566,24194780,ENSG00000179163.12_8,FUCA1,-
chr1,24197004,24239852,ENSG00000188822.8_10,CNR2,-
chr1,24283328,24289952,ENSG00000189266.13_11,PNRC2,+
chr1,24290836,24307417,ENSG00000188529.15_14,SRSF10,-
chr1,24382524,24438625,ENSG00000142661.19_9,MYOM3,-
chr1,24446260,24469630,ENSG00000142677.4_9,IL22RA1,-
chr1,24480657,24514449,ENSG00000185436.12_9,IFNLR1,-
chr1,24526047,24690972,ENSG00000158055.17_8,GRHL3,+
chr1,24683488,24743424,ENSG00000001460.18_14,STPG1,-
chr1,24742291,24803225,ENSG00000001461.19_9,NIPAL3,+
chr1,24828840,24867530,ENSG00000117602.13_10,RCAN3,+
chr1,24882577,24935819,ENSG00000184454.7_8,NCMAP,+
chr1,24958206,24999772,ENSG00000133226.19_16,SRRM1,+
chr1,25071872,25170812,ENSG00000169504.15_8,CLIC4,+
chr1,25226001,25291612,ENSG00000020633.19_11,RUNX3,-
chr1,25548766,25558993,ENSG00000117614.10_10,SYF2,-
chr1,25568739,25664704,ENSG00000117616.18_17,RSRP1,-
chr1,25598883,25656936,ENSG00000187010.21_16,RHD,+
chr1,25664807,25688852,ENSG00000183726.11_7,TMEM50A,+
chr1,25688739,25756683,ENSG00000188672.19_15,RHCE,-
chr1,25757348,25826700,ENSG00000204178.11_8,MACO1,+
chr1,25870094,25917691,ENSG00000157978.13_8,LDLRAP1,+
chr1,25943281,26110941,ENSG00000117643.16_13,MAN1C1,+
chr1,26126683,26144712,ENSG00000162430.18_16,SELENON,+
chr1,26137960,26150235,ENSG00000255054.3_14,ENSG00000255054,+
chr1,26145130,26159433,ENSG00000117640.18_12,MTFR1L,+
chr1,26158403,26185949,ENSG00000127423.11_11,AUNIP,-
chr1,26187974,26202199,ENSG00000182749.6_8,PAQR7,-
chr1,26210671,26233482,ENSG00000117632.23_14,STMN1,-
chr1,26286257,26324608,ENSG00000158006.14_16,PAFAH2,-
chr1,26346374,26362955,ENSG00000158008.10_7,EXTL1,+
chr1,26363742,26372609,ENSG00000158014.15_9,SLC30A2,-
chr1,26377791,26394927,ENSG00000158022.7_7,TRIM63,-
chr1,26437655,26452046,ENSG00000175087.10_9,PDIK1L,+
chr1,26485569,26490453,ENSG00000197245.6_7,FAM110D,+
chr1,26490591,26495454,ENSG00000282872.2_15,C1orf232,-
chr1,26496006,26498323,ENSG00000236782.8_14,ZNF593OS,-
chr1,26496398,26497364,ENSG00000142684.9_8,ZNF593,+
chr1,26503974,26516375,ENSG00000142675.18_12,CNKSR1,+
chr1,26517051,26529459,ENSG00000188782.9_10,CATSPER4,+
chr1,26560690,26605299,ENSG00000130695.16_11,CEP85,+
chr1,26606576,26608013,ENSG00000142669.15_8,SH3BGRL3,+
chr1,26607818,26644854,ENSG00000158062.21_14,UBXN11,-
chr1,26644448,26647014,ENSG00000169442.9_7,CD52,+
chr1,26648188,26686571,ENSG00000176092.17_19,CRYBG2,-
chr1,26688124,26701013,ENSG00000176083.18_18,ZNF683,-
chr1,26737307,26756219,ENSG00000131914.11_7,LIN28A,+
chr1,26758772,26797797,ENSG00000117682.18_14,DHDDS,+
chr1,26798930,26804700,ENSG00000198830.13_9,HMGN2,+
chr1,26856251,26901521,ENSG00000117676.14_12,RPS6KA1,+
chr1,27019726,27108595,ENSG00000117713.22_18,ARID1A,+
chr1,27113544,27127150,ENSG00000060642.12_16,PIGV,+
chr1,27153178,27184095,ENSG00000204160.12_12,ZDHHC18,+
chr1,27189639,27190947,ENSG00000175793.12_8,SFN,+
chr1,27202622,27216774,ENSG00000142751.15_12,GPN2,-
chr1,27216978,27226958,ENSG00000198746.13_12,GPATCH3,-
chr1,27226728,27273362,ENSG00000090273.14_8,NUDC,+
chr1,27237979,27240466,ENSG00000131910.5_9,NR0B2,-
chr1,27276052,27286959,ENSG00000175707.10_10,KDF1,-
chr1,27320182,27328403,ENSG00000253368.5_11,TRNP1,+
chr1,27331510,27339341,ENSG00000158246.8_10,TENT5B,-
chr1,27425299,27493472,ENSG00000090020.11_12,SLC9A1,-
chr1,27561122,27635127,ENSG00000142784.16_16,WDTC1,+
chr1,27648635,27662891,ENSG00000186501.15_11,TMEM222,+
chr1,27668510,27680428,ENSG00000142765.18_13,SYTL1,+
chr1,27681674,27693452,ENSG00000142733.18_16,MAP3K6,-
chr1,27695600,27701315,ENSG00000142748.14_12,FCN3,-
chr1,27705665,27709823,ENSG00000174950.11_12,CD164L2,-
chr1,27719125,27722318,ENSG00000181773.7_8,GPR3,+
chr1,27730733,27816678,ENSG00000158195.11_9,WASF2,-
chr1,27860545,27930942,ENSG00000126705.15_13,AHDC1,-
chr1,27938574,27961696,ENSG00000000938.13_15,FGR,-
chr1,27992574,27998723,ENSG00000126709.16_13,IFI6,-
chr1,28052471,28089627,ENSG00000009780.16_10,FAM76A,+
chr1,28099729,28150954,ENSG00000117758.14_10,STX12,+
chr1,28157292,28178187,ENSG00000117751.18_8,PPP1R8,+
chr1,28177084,28177255,ENSG00000268552.1,AL109927.1,-
chr1,28199053,28213196,ENSG00000130775.16_13,THEMIS2,+
chr1,28218034,28241257,ENSG00000117748.10_12,RPA2,-
chr1,28261510,28285668,ENSG00000130768.15_8,SMPDL3B,+
chr1,28286098,28294604,ENSG00000158156.9_11,XKR8,+
chr1,28296854,28415148,ENSG00000158161.16_17,EYA3,-
chr1,28473676,28520447,ENSG00000169403.12_9,PTAFR,-
chr1,28525966,28559540,ENSG00000126698.11_12,DNAJC8,-
chr1,28527012,28527152,ENSG00000215902.1,AL353354.1,-
chr1,28527069,28527419,ENSG00000269804.1,AL353354.2,+
chr1,28562619,28573417,ENSG00000130770.18_8,ATP5IF1,+
chr1,28586028,28609002,ENSG00000130766.5_7,SESN2,+
chr1,28655512,28662476,ENSG00000130772.14_7,MED18,+
chr1,28696092,28826876,ENSG00000204138.13_13,PHACTR4,+
chr1,28832454,28865812,ENSG00000180198.17_13,RCC1,+
chr1,28879596,28905057,ENSG00000180098.9_7,TRNAU1AP,+
chr1,28914340,28974803,ENSG00000120656.14_9,TAF12,-
chr1,28918711,28921961,ENSG00000188060.8_8,RAB42,+
chr1,28995289,29045865,ENSG00000162419.13_8,GMEB1,+
chr1,29063132,29096287,ENSG00000198492.16_14,YTHDF2,+
chr1,29138681,29197779,ENSG00000116329.12_8,OPRD1,+
chr1,29213602,29446558,ENSG00000159023.23_22,EPB41,+
chr1,29445940,29450415,ENSG00000253304.2_9,TMEM200B,-
chr1,29474254,29508412,ENSG00000116350.18_14,SRSF4,-
chr1,29519168,29557454,ENSG00000116353.16_12,MECR,-
